ros_time_s,imu_heading
1762169139.9846,272.8120
1762169140.1846,272.2500
1762169140.3858,271.5000
1762169140.5859,270.5000
1762169140.7865,269.6250
1762169140.9867,268.8120
1762169141.1871,268.0000
1762169141.3882,267.0620
1762169141.5889,266.0000
1762169141.7886,264.8750
1762169141.9892,263.6250
1762169142.1946,262.4370
1762169142.3951,261.5620
1762169142.5925,260.6870
1762169142.7939,259.8120
1762169142.9935,259.1870
1762169143.1940,258.5000
1762169143.3939,257.8750
1762169143.5964,257.0000
1762169143.7972,256.2500
1762169143.9989,255.3750
1762169144.1995,254.4370
1762169144.3994,253.9370
1762169144.5995,253.2500
1762169144.8003,252.5000
1762169145.0004,251.6250
1762169145.2000,250.4370
1762169145.3998,249.5620
1762169145.6009,248.8120
1762169145.8009,247.8750
1762169146.0014,246.9370
1762169146.2019,245.9370
1762169146.4036,245.1870
1762169146.6055,244.5000
1762169146.8068,243.8750
1762169147.0067,243.0620
1762169147.2069,242.2500
1762169147.4083,241.6250
1762169147.6098,241.1250
1762169147.8099,240.7500
1762169148.0105,240.1870
1762169148.2109,239.4370
1762169148.4124,238.7500
1762169148.6133,238.1250
1762169148.8136,237.4370
1762169149.0141,236.8120
1762169149.2139,236.0000
1762169149.4149,235.2500
1762169149.6151,234.2500
1762169149.8160,233.5000
1762169150.0164,232.6250
1762169150.2177,231.8120
1762169150.4184,231.1250
1762169150.6190,230.5000
1762169150.8200,230.1250
1762169151.0200,229.8750
1762169151.2203,229.4370
1762169151.4214,228.9370
1762169151.6224,228.2500
1762169151.8232,227.8750
1762169152.0231,227.5000
1762169152.2238,227.0620
1762169152.4253,226.5000
1762169152.6251,225.8750
1762169152.8260,225.1870
1762169153.0268,224.5620
1762169153.2287,223.9370
1762169153.4284,223.4370
1762169153.6285,222.9370
1762169153.8287,222.2500
1762169154.0299,221.5620
1762169154.2313,220.7500
1762169154.4305,219.8120
1762169154.6317,219.1250
1762169154.8324,218.5620
1762169155.0336,218.0000
1762169155.2343,217.4370
1762169155.4354,216.9370
1762169155.6356,216.3120
1762169155.8359,215.7500
1762169156.0371,215.6250
1762169156.2375,215.1250
1762169156.4375,214.4370
1762169156.6390,213.8120
1762169156.8395,213.1250
1762169157.0392,212.5620
1762169157.2400,212.0000
1762169157.4418,211.6250
1762169157.6436,211.1870
1762169157.8447,210.6250
1762169158.0432,210.1870
1762169158.2440,209.6870
1762169158.4442,209.1250
1762169158.6443,208.5000
1762169158.8444,207.8120
1762169159.0443,207.2500
1762169159.2474,206.5620
1762169159.4479,205.7500
1762169159.6485,205.0620
1762169159.8492,204.3120
1762169160.0493,203.4370
1762169160.2498,202.5620
1762169160.4492,201.5000
1762169160.6493,200.9370
1762169160.8496,200.5620
1762169161.0490,200.0000
1762169161.2495,199.3750
1762169161.4498,198.7500
1762169161.6501,198.1250
1762169161.8508,197.3750
1762169162.0514,196.5620
