ros_time_s,Imu_Error_yaw
1762169076.3986,-0.1167
1762169076.5483,-0.1167
1762169076.7314,-0.1244
1762169076.8979,-0.1331
1762169077.0455,-0.1407
1762169077.2136,-0.1505
1762169077.4035,-0.1505
1762169077.5676,-0.1593
1762169077.7211,-0.1691
1762169077.8828,-0.1789
1762169078.0642,-0.1789
1762169078.2190,-0.1865
1762169078.3819,-0.1942
1762169078.5733,-0.1964
1762169078.7268,-0.1985
1762169078.8940,-0.1985
1762169079.0717,-0.2007
1762169079.2249,-0.1985
1762169079.4051,-0.1985
1762169079.5600,-0.1985
1762169079.7326,-0.1920
1762169079.8853,-0.1822
1762169080.0722,-0.1702
1762169080.2334,-0.1593
1762169080.3987,-0.1593
1762169080.5736,-0.1473
1762169080.7256,-0.1298
1762169080.8955,-0.1080
1762169081.0730,-0.1080
1762169081.2405,-0.0894
1762169081.3937,-0.0731
1762169081.5737,-0.0600
1762169081.7276,-0.0426
1762169081.9022,-0.0273
1762169082.0740,-0.0273
1762169082.2268,-0.0098
1762169082.3998,0.0109
1762169082.5545,0.0218
1762169082.7362,0.0360
1762169082.9020,0.0360
1762169083.0730,0.0513
1762169083.2237,0.0676
1762169083.4009,0.0818
1762169083.5681,0.0916
1762169083.7346,0.0916
1762169083.9074,0.1015
1762169084.0490,0.1091
1762169084.2279,0.1167
1762169084.4071,0.1167
1762169084.5618,0.1200
1762169084.7359,0.1255
1762169084.8863,0.1364
1762169085.0668,0.1462
1762169085.2225,0.1462
1762169085.4001,0.1538
1762169085.5549,0.1560
1762169085.7359,0.1571
1762169085.8894,0.1560
1762169086.0774,0.1560
1762169086.2434,0.1516
1762169086.4003,0.1462
1762169086.5699,0.1374
1762169086.7241,0.1374
1762169086.9035,0.1320
1762169087.0630,0.1255
1762169087.2351,0.1200
1762169087.3860,0.1200
1762169087.5559,0.1124
1762169087.7347,0.1058
1762169087.9078,0.0884
1762169088.0629,0.0698
1762169088.2336,0.0698
1762169088.3905,0.0644
1762169088.5683,0.0556
1762169088.7233,0.0415
1762169088.9005,0.0284
1762169089.0591,0.0284
1762169089.2373,0.0186
1762169089.3945,0.0175
1762169089.5581,0.0175
1762169089.7258,0.0175
1762169089.9050,0.0153
1762169090.0708,0.0131
1762169090.2245,0.0120
1762169090.4035,0.0087
1762169090.5592,0.0087
1762169090.7239,0.0044
1762169090.8946,-0.0011
1762169091.0659,-0.0022
1762169091.2198,-0.0022
1762169091.3969,-0.0054
1762169091.5567,-0.0087
1762169091.7356,-0.0087
1762169091.8901,-0.0164
1762169092.0561,-0.0164
1762169092.2353,-0.0240
1762169092.3901,-0.0294
1762169092.5455,-0.0338
1762169092.7210,-0.0338
1762169092.8760,-0.0371
1762169093.0553,-0.0371
1762169093.2093,-0.0393
1762169093.3867,-0.0393
1762169093.5421,-0.0426
1762169093.7205,-0.0436
1762169093.8752,-0.0469
1762169094.0525,-0.0480
1762169094.2100,-0.0480
1762169094.3724,-0.0480
1762169094.5425,-0.0458
1762169094.7046,-0.0436
1762169094.8815,-0.0393
1762169095.0368,-0.0393
1762169095.1910,-0.0338
1762169095.3703,-0.0327
1762169095.5304,-0.0316
1762169095.7091,-0.0316
1762169095.8640,-0.0262
1762169096.0405,-0.0207
1762169096.1978,-0.0087
1762169096.3518,0.0022
1762169096.5173,0.0022
1762169096.6877,0.0087
1762169096.8668,0.0186
1762169097.0206,0.0284
1762169097.1930,0.0284
1762169097.3517,0.0393
1762169097.5212,0.0480
1762169097.6850,0.0545
1762169097.8554,0.0545
1762169098.0129,0.0578
1762169098.1879,0.0589
1762169098.3435,0.0600
1762169098.5030,0.0600
1762169098.6774,0.0633
1762169098.8432,0.0633
1762169098.9984,0.0633
1762169099.1758,0.0567
1762169099.3287,0.0567
1762169099.4951,0.0502
1762169099.6720,0.0436
1762169099.8267,0.0338
1762169100.0061,0.0338
1762169100.1599,0.0240
1762169100.3367,0.0131
1762169100.4954,0.0044
1762169100.6735,0.0033
1762169100.8370,0.0033
1762169100.9898,0.0033
1762169101.1680,0.0033
1762169101.3329,0.0011
1762169101.5120,-0.0033
1762169101.6654,-0.0033
1762169101.8415,-0.0076
1762169101.9963,-0.0131
1762169102.1745,-0.0175
1762169102.3292,-0.0175
1762169102.5076,-0.0207
1762169102.6628,-0.0207
1762169102.8405,-0.0218
1762169103.0111,-0.0273
1762169103.1654,-0.0273
1762169103.3425,-0.0338
1762169103.4938,-0.0404
