ros_time_s,Error_Distancia
1762172643.9585,0.0290
1762172643.9967,0.0290
1762172644.0459,0.0290
1762172644.1052,0.0137
1762172644.1461,0.0137
1762172644.1963,0.0137
1762172644.2463,0.0137
1762172644.3083,0.0436
1762172644.3461,0.0436
1762172644.3964,0.0436
1762172644.4581,0.0493
1762172644.4970,0.0493
1762172644.5466,0.0493
1762172644.5970,0.0493
1762172644.6569,0.0406
1762172644.6968,0.0406
1762172644.7468,0.0406
1762172644.8084,0.0234
1762172644.8462,0.0234
1762172644.8968,0.0234
1762172644.9569,0.0438
1762172644.9960,0.0438
1762172645.0462,0.0438
1762172645.1059,0.0176
1762172645.1460,0.0176
1762172645.1968,0.0176
1762172645.2467,0.0176
1762172645.3091,0.0421
1762172645.3465,0.0421
1762172645.3970,0.0421
1762172645.4563,0.0291
1762172645.4973,0.0291
1762172645.5466,0.0291
1762172645.6070,0.0149
1762172645.6464,0.0149
1762172645.6968,0.0149
1762172645.7562,0.0389
1762172645.7968,0.0389
1762172645.8463,0.0389
1762172645.9037,0.0402
1762172645.9465,0.0402
1762172645.9972,0.0402
1762172646.0472,0.0402
1762172646.1095,0.0321
1762172646.1465,0.0321
1762172646.1969,0.0321
1762172646.2581,0.0275
1762172646.2969,0.0275
1762172646.3462,0.0275
1762172646.4109,0.0530
1762172646.4463,0.0530
1762172646.4967,0.0530
1762172646.5576,0.0176
1762172646.5967,0.0176
1762172646.6460,0.0176
1762172646.6967,0.0176
1762172646.7571,0.0069
1762172646.7968,0.0069
1762172646.8460,0.0069
1762172646.9083,0.0500
1762172646.9466,0.0500
1762172646.9967,0.0500
1762172647.0575,0.0255
1762172647.0965,0.0255
1762172647.1464,0.0255
1762172647.1967,0.0255
1762172647.2538,0.0650
1762172647.2961,0.0650
1762172647.3466,0.0650
1762172647.4079,0.0445
1762172647.4471,0.0445
1762172647.4962,0.0445
1762172647.5568,0.0332
1762172647.5967,0.0332
1762172647.6466,0.0332
1762172647.7062,0.0135
1762172647.7462,0.0135
1762172647.7962,0.0135
1762172647.8461,0.0135
1762172647.9040,0.0389
1762172647.9464,0.0389
1762172647.9964,0.0389
1762172648.0615,0.0245
1762172648.0971,0.0245
