ros_time_s,Lecturas_ValidasRojo
1762172653.8860,0.0000
1762172654.0407,0.0000
1762172654.2072,0.0000
1762172654.3704,0.0000
1762172654.5245,0.0000
1762172654.7023,0.0000
1762172654.8514,0.0000
1762172655.0180,0.0000
1762172655.1813,0.0000
1762172655.3475,0.0000
1762172655.5144,0.0000
1762172655.6689,0.0000
1762172655.8251,0.0000
1762172656.0027,0.0000
1762172656.1625,0.0000
1762172656.3169,0.0000
1762172656.4879,0.0000
1762172656.6422,0.0000
1762172656.8014,0.0000
1762172656.9814,0.0000
1762172657.1314,0.0000
1762172657.2991,0.0000
1762172657.4686,0.0000
1762172657.6247,0.0000
1762172657.7731,0.0000
1762172657.9449,0.0000
1762172658.1048,0.0000
1762172658.2606,0.0000
1762172658.4393,0.0000
1762172658.5877,0.0000
1762172658.7648,0.0000
1762172658.9195,0.0000
1762172659.0744,0.0000
1762172659.2481,0.0000
1762172659.4036,0.0000
1762172659.5566,0.0000
1762172659.7361,0.0000
1762172659.8867,0.0000
1762172660.0603,0.0000
1762172660.2206,0.0000
1762172660.3755,0.0000
1762172660.5424,0.0000
1762172660.7001,0.0000
1762172660.8544,1.0000
1762172661.0305,1.0000
1762172661.1876,1.0000
1762172661.3423,2.0000
1762172661.5157,2.0000
1762172661.6719,2.0000
1762172661.8256,2.0000
1762172662.0084,2.0000
1762172662.1559,2.0000
1762172662.3200,2.0000
1762172662.4899,3.0000
1762172662.6431,4.0000
1762172662.7980,4.0000
1762172662.9762,4.0000
1762172663.1419,4.0000
1762172663.3029,5.0000
1762172663.4567,4.0000
1762172663.6124,4.0000
1762172663.7912,4.0000
1762172663.9367,4.0000
1762172664.1150,5.0000
1762172664.2600,3.0000
1762172664.4234,3.0000
1762172664.5956,5.0000
1762172664.7557,3.0000
1762172664.9066,3.0000
1762172665.0706,3.0000
1762172665.2324,5.0000
1762172665.3901,4.0000
1762172665.5583,3.0000
1762172665.7144,3.0000
1762172665.8791,5.0000
1762172666.0393,4.0000
1762172666.2156,4.0000
1762172666.3585,5.0000
1762172666.5247,4.0000
1762172666.6878,4.0000
1762172666.8510,3.0000
1762172667.0225,3.0000
1762172667.1773,2.0000
1762172667.3356,2.0000
1762172667.4974,1.0000
1762172667.6613,1.0000
1762172667.8401,1.0000
1762172667.9865,0.0000
1762172668.1646,0.0000
1762172668.3172,1.0000
1762172668.4746,1.0000
1762172668.6348,1.0000
1762172668.8125,1.0000
1762172668.9616,1.0000
1762172669.1428,1.0000
1762172669.2834,0.0000
1762172669.4485,1.0000
1762172669.6141,0.0000
1762172669.7906,0.0000
1762172669.9522,0.0000
1762172670.0985,0.0000
1762172670.2759,0.0000
1762172670.4318,0.0000
1762172670.5956,0.0000
1762172670.7628,0.0000
1762172670.9175,0.0000
1762172671.0846,0.0000
1762172671.2370,0.0000
1762172671.3900,0.0000
1762172671.5729,0.0000
1762172671.7161,0.0000
1762172671.8942,0.0000
1762172672.0601,0.0000
1762172672.2217,0.0000
1762172672.3860,0.0000
1762172672.5382,0.0000
1762172672.6914,0.0000
1762172672.8702,0.0000
1762172673.0322,0.0000
1762172673.1865,0.0000
1762172673.3407,0.0000
1762172673.5145,0.0000
1762172673.6818,0.0000
1762172673.8278,0.0000
1762172673.9806,0.0000
1762172674.1590,0.0000
1762172674.3042,0.0000
1762172674.4749,0.0000
1762172674.6307,0.0000
1762172674.8142,0.0000
1762172674.9773,0.0000
1762172675.1201,0.0000
1762172675.2841,0.0000
1762172675.4446,0.0000
1762172675.6011,0.0000
1762172675.7752,0.0000
1762172675.9281,0.0000
1762172676.0972,0.0000
1762172676.2637,0.0000
1762172676.4173,0.0000
1762172676.5906,0.0000
1762172676.7372,0.0000
1762172676.9157,0.0000
1762172677.0682,0.0000
1762172677.2229,0.0000
1762172677.4040,0.0000
1762172677.5675,0.0000
1762172677.7207,0.0000
1762172677.8715,0.0000
1762172678.0499,0.0000
1762172678.1948,0.0000
1762172678.3601,0.0000
1762172678.5274,0.0000
1762172678.6830,0.0000
1762172678.8609,0.0000
1762172679.0160,0.0000
1762172679.1697,0.0000
1762172679.3480,0.0000
1762172679.5004,0.0000
1762172679.6545,0.0000
1762172679.8341,0.0000
1762172679.9895,0.0000
1762172680.1402,0.0000
1762172680.3201,0.0000
1762172680.4745,0.0000
1762172680.6283,0.0000
1762172680.8069,0.0000
1762172680.9663,0.0000
1762172681.1188,0.0000
1762172681.2740,0.0000
1762172681.4531,0.0000
1762172681.6193,0.0000
1762172681.7718,0.0000
1762172681.9372,0.0000
1762172682.0920,0.0000
1762172682.2602,0.0000
1762172682.4262,0.0000
1762172682.5776,0.0000
1762172682.7527,0.0000
1762172682.8930,0.0000
1762172683.0769,0.0000
1762172683.2313,0.0000
1762172683.3911,0.0000
1762172683.5598,0.0000
1762172683.7228,0.0000
1762172683.8872,0.0000
1762172684.0536,0.0000
1762172684.2082,0.0000
1762172684.3601,0.0000
1762172684.5333,0.0000
1762172684.6875,0.0000
1762172684.8472,0.0000
1762172685.0264,0.0000
1762172685.1805,0.0000
1762172685.3503,0.0000
1762172685.5017,0.0000
1762172685.6569,0.0000
1762172685.8305,0.0000
1762172685.9886,0.0000
1762172686.1505,0.0000
1762172686.3188,0.0000
1762172686.4732,0.0000
1762172686.6506,0.0000
1762172686.8057,0.0000
1762172686.9574,0.0000
1762172687.1314,0.0000
1762172687.2896,0.0000
1762172687.4509,0.0000
1762172687.6054,0.0000
1762172687.7658,0.0000
1762172687.9470,0.0000
1762172688.0992,0.0000
1762172688.2501,0.0000
1762172688.4266,0.0000
1762172688.5825,0.0000
1762172688.7465,0.0000
1762172688.9116,0.0000
1762172689.0686,0.0000
1762172689.2233,0.0000
1762172689.3977,0.0000
1762172689.5556,0.0000
1762172689.7104,0.0000
1762172689.8884,0.0000
1762172690.0442,0.0000
1762172690.1955,0.0000
1762172690.3554,0.0000
1762172690.5335,0.0000
1762172690.6884,0.0000
1762172690.8408,0.0000
1762172691.0202,0.0000
1762172691.1756,0.0000
1762172691.3518,0.0000
1762172691.4916,0.0000
1762172691.6722,0.0000
1762172691.8338,0.0000
1762172691.9857,0.0000
1762172692.1582,0.0000
1762172692.3034,1.0000
1762172692.4737,1.0000
1762172692.6314,1.0000
1762172692.8019,1.0000
1762172692.9605,1.0000
1762172693.1166,1.0000
1762172693.2945,1.0000
1762172693.4439,1.0000
1762172693.6236,1.0000
1762172693.7780,1.0000
1762172693.9305,1.0000
1762172694.0953,1.0000
1762172694.2544,1.0000
1762172694.4286,2.0000
1762172694.5878,1.0000
1762172694.7504,2.0000
1762172694.9132,2.0000
1762172695.0776,1.0000
1762172695.2318,2.0000
1762172695.4016,1.0000
1762172695.5556,2.0000
1762172695.7068,2.0000
1762172695.8872,3.0000
1762172696.0395,3.0000
1762172696.1938,3.0000
1762172696.3739,0.0000
1762172696.5270,0.0000
1762172696.6932,0.0000
1762172696.8472,0.0000
1762172697.0044,0.0000
1762172697.1677,1.0000
1762172697.3453,1.0000
1762172697.4907,0.0000
1762172697.6732,0.0000
1762172697.8258,0.0000
1762172697.9988,0.0000
1762172698.1517,0.0000
1762172698.3056,0.0000
1762172698.4727,2.0000
1762172698.6344,3.0000
1762172698.7886,3.0000
1762172698.9689,3.0000
1762172699.1236,4.0000
1762172699.2841,4.0000
1762172699.4514,5.0000
1762172699.6079,3.0000
1762172699.7549,3.0000
1762172699.9338,3.0000
1762172700.0940,2.0000
1762172700.2459,3.0000
1762172700.4018,2.0000
1762172700.5811,2.0000
1762172700.7457,0.0000
1762172700.9131,0.0000
1762172701.0759,0.0000
1762172701.2283,0.0000
1762172701.3828,0.0000
1762172701.5623,0.0000
1762172701.7252,0.0000
1762172701.8790,0.0000
1762172702.0527,0.0000
1762172702.2139,0.0000
1762172702.3677,0.0000
1762172702.5427,0.0000
1762172702.7056,0.0000
1762172702.8608,0.0000
1762172703.0155,0.0000
1762172703.1917,0.0000
1762172703.3458,0.0000
1762172703.5258,0.0000
1762172703.6784,0.0000
1762172703.8320,0.0000
1762172704.0113,0.0000
1762172704.1667,0.0000
1762172704.3205,0.0000
1762172704.4999,0.0000
1762172704.6571,0.0000
1762172704.8109,0.0000
1762172704.9886,0.0000
1762172705.1431,0.0000
1762172705.2981,0.0000
1762172705.4763,0.0000
1762172705.6297,0.0000
1762172705.8017,0.0000
1762172705.9561,0.0000
1762172706.1345,0.0000
1762172706.2885,0.0000
1762172706.4612,0.0000
1762172706.6154,0.0000
1762172706.7702,0.0000
1762172706.9463,0.0000
1762172707.1010,0.0000
1762172707.2800,0.0000
1762172707.4427,0.0000
1762172707.5978,0.0000
1762172707.7522,0.0000
1762172707.9304,0.0000
1762172708.0836,0.0000
1762172708.2641,0.0000
1762172708.4174,0.0000
1762172708.5719,0.0000
1762172708.7498,0.0000
1762172708.9036,0.0000
1762172709.0809,0.0000
1762172709.2364,0.0000
1762172709.4096,0.0000
1762172709.5776,0.0000
1762172709.7248,0.0000
1762172709.8835,0.0000
1762172710.0482,0.0000
1762172710.2272,0.0000
1762172710.3993,0.0000
1762172710.5520,0.0000
1762172710.7274,0.0000
1762172710.8844,0.0000
1762172711.0384,0.0000
1762172711.2191,0.0000
1762172711.3734,0.0000
1762172711.5256,0.0000
1762172711.7055,0.0000
1762172711.8595,0.0000
1762172712.0363,0.0000
1762172712.1923,0.0000
1762172712.3526,0.0000
1762172712.5304,0.0000
1762172712.6788,0.0000
1762172712.8573,0.0000
1762172713.0019,0.0000
1762172713.1739,0.0000
1762172713.3267,0.0000
1762172713.5060,0.0000
1762172713.6594,0.0000
1762172713.8159,0.0000
1762172713.9944,0.0000
1762172714.1411,0.0000
1762172714.3215,0.0000
1762172714.4754,0.0000
1762172714.6530,0.0000
1762172714.8072,0.0000
1762172714.9719,0.0000
1762172715.1356,0.0000
1762172715.2903,0.0000
1762172715.4431,0.0000
1762172715.6235,0.0000
1762172715.7770,0.0000
1762172715.9537,0.0000
1762172716.1115,0.0000
1762172716.2651,0.0000
1762172716.4283,0.0000
1762172716.6009,0.0000
1762172716.7618,0.0000
1762172716.9196,0.0000
1762172717.0853,0.0000
1762172717.2441,0.0000
1762172717.4237,0.0000
1762172717.5782,0.0000
1762172717.7413,0.0000
1762172717.8995,0.0000
1762172718.0659,0.0000
1762172718.2269,0.0000
1762172718.4021,0.0000
1762172718.5644,0.0000
1762172718.7282,0.0000
1762172718.8819,0.0000
1762172719.0565,0.0000
1762172719.2209,0.0000
1762172719.3756,0.0000
1762172719.5541,0.0000
1762172719.7077,0.0000
1762172719.8873,0.0000
1762172720.0410,0.0000
1762172720.1958,0.0000
1762172720.3738,0.0000
1762172720.5281,0.0000
1762172720.7058,0.0000
1762172720.8601,0.0000
1762172721.0381,0.0000
1762172721.1922,0.0000
1762172721.3465,0.0000
1762172721.5248,0.0000
1762172721.6782,0.0000
1762172721.8578,0.0000
1762172722.0135,0.0000
1762172722.1664,0.0000
1762172722.3434,0.0000
1762172722.4991,0.0000
1762172722.6764,0.0000
1762172722.8387,0.0000
1762172722.9971,0.0000
1762172723.1490,0.0000
1762172723.3257,0.0000
1762172723.4790,0.0000
1762172723.6351,0.0000
1762172723.8140,0.0000
1762172723.9680,0.0000
1762172724.1464,0.0000
1762172724.2889,0.0000
1762172724.4580,0.0000
1762172724.6361,0.0000
1762172724.7916,0.0000
1762172724.9478,0.0000
1762172725.1248,0.0000
1762172725.2786,0.0000
1762172725.4331,0.0000
1762172725.6079,0.0000
1762172725.7625,0.0000
1762172725.9390,0.0000
1762172726.0959,0.0000
1762172726.2491,0.0000
1762172726.4116,0.0000
1762172726.5903,0.0000
1762172726.7311,0.0000
1762172726.9161,0.0000
1762172727.0708,0.0000
1762172727.2353,0.0000
1762172727.3881,0.0000
1762172727.5666,0.0000
1762172727.7206,0.0000
1762172727.8752,0.0000
1762172728.0529,0.0000
1762172728.2068,0.0000
1762172728.3616,0.0000
1762172728.5210,0.0000
1762172728.6888,0.0000
1762172728.8484,0.0000
1762172729.0279,0.0000
1762172729.1716,0.0000
1762172729.3333,0.0000
1762172729.5097,0.0000
1762172729.6643,0.0000
1762172729.8425,0.0000
1762172729.9973,0.0000
1762172730.1499,0.0000
1762172730.3285,0.0000
1762172730.4838,0.0000
1762172730.6628,0.0000
1762172730.8160,0.0000
1762172730.9699,0.0000
1762172731.1339,0.0000
1762172731.2969,0.0000
1762172731.4691,0.0000
1762172731.6405,0.0000
1762172731.7957,0.0000
1762172731.9685,0.0000
1762172732.1180,0.0000
1762172732.2967,0.0000
1762172732.4512,0.0000
1762172732.6073,0.0000
1762172732.7854,0.0000
1762172732.9412,0.0000
1762172733.1174,0.0000
1762172733.2719,0.0000
1762172733.4253,0.0000
1762172733.6047,0.0000
1762172733.7588,0.0000
