ros_time_s,Lecturas_ValidasVerde
1762172595.2353,22.0000
1762172595.3993,22.0000
1762172595.5589,21.0000
1762172595.7367,22.0000
1762172595.8902,22.0000
1762172596.0534,20.0000
1762172596.2099,24.0000
1762172596.3914,21.0000
1762172596.5443,22.0000
1762172596.6992,21.0000
1762172596.8714,19.0000
1762172597.0398,23.0000
1762172597.2041,21.0000
1762172597.3572,20.0000
1762172597.5318,21.0000
1762172597.6904,21.0000
1762172597.8541,21.0000
1762172598.0294,22.0000
1762172598.1867,20.0000
1762172598.3401,21.0000
1762172598.5184,22.0000
1762172598.6767,20.0000
1762172598.8466,21.0000
1762172599.0109,21.0000
1762172599.1728,20.0000
1762172599.3266,21.0000
1762172599.4866,19.0000
1762172599.6630,20.0000
1762172599.8324,23.0000
1762172599.9862,23.0000
1762172600.1598,21.0000
1762172600.3182,22.0000
1762172600.4873,21.0000
1762172600.6499,20.0000
1762172600.8128,22.0000
1762172600.9759,22.0000
1762172601.1363,19.0000
1762172601.3018,19.0000
1762172601.4644,20.0000
1762172601.6359,20.0000
1762172601.7931,22.0000
1762172601.9563,19.0000
1762172602.1210,19.0000
1762172602.2828,21.0000
1762172602.4469,21.0000
1762172602.6034,22.0000
1762172602.7779,25.0000
1762172602.9261,22.0000
1762172603.0965,22.0000
1762172603.2673,24.0000
1762172603.4212,22.0000
1762172603.5955,22.0000
1762172603.7521,21.0000
1762172603.9203,19.0000
1762172604.0823,20.0000
1762172604.2386,23.0000
1762172604.3995,23.0000
1762172604.5765,21.0000
1762172604.7322,22.0000
1762172604.9092,20.0000
1762172605.0629,21.0000
1762172605.2180,21.0000
1762172605.3963,21.0000
1762172605.5504,21.0000
1762172605.7256,22.0000
1762172605.8889,21.0000
1762172606.0491,22.0000
1762172606.2103,19.0000
1762172606.3788,21.0000
1762172606.5289,22.0000
1762172606.7023,21.0000
1762172606.8560,22.0000
1762172607.0119,23.0000
1762172607.1965,22.0000
1762172607.3485,22.0000
1762172607.5022,22.0000
1762172607.6814,22.0000
1762172607.8494,21.0000
1762172607.9991,23.0000
1762172608.1624,23.0000
1762172608.3373,22.0000
1762172608.4917,21.0000
1762172608.6558,22.0000
1762172608.8182,23.0000
1762172608.9994,22.0000
1762172609.1527,22.0000
1762172609.3235,22.0000
1762172609.4687,21.0000
1762172609.6522,21.0000
1762172609.8082,19.0000
