ros_time_s,Lecturas_ValidasVerde
1762170848.0323,19.0000
1762170848.1917,20.0000
1762170848.3515,20.0000
1762170848.5191,23.0000
1762170848.6931,24.0000
1762170848.8525,21.0000
1762170849.0272,21.0000
1762170849.1800,23.0000
1762170849.3348,23.0000
1762170849.4987,24.0000
1762170849.6763,23.0000
1762170849.8272,19.0000
1762170849.9993,22.0000
1762170850.1592,20.0000
1762170850.3279,22.0000
1762170850.5002,23.0000
1762170850.6549,20.0000
1762170850.8100,19.0000
1762170850.9770,18.0000
1762170851.1452,21.0000
1762170851.3126,22.0000
1762170851.4661,23.0000
1762170851.6439,21.0000
1762170851.8025,20.0000
1762170851.9623,21.0000
1762170852.1235,19.0000
1762170852.3007,21.0000
1762170852.4559,21.0000
1762170852.6102,19.0000
1762170852.7893,22.0000
1762170852.9462,17.0000
1762170853.1022,20.0000
1762170853.2693,20.0000
1762170853.4412,21.0000
1762170853.6094,21.0000
1762170853.7627,20.0000
1762170853.9253,23.0000
1762170854.1029,27.0000
1762170854.2566,23.0000
1762170854.4193,22.0000
1762170854.5961,21.0000
1762170854.7516,23.0000
1762170854.9110,22.0000
1762170855.0885,21.0000
1762170855.2326,24.0000
1762170855.3926,19.0000
1762170855.5713,24.0000
1762170855.7266,20.0000
1762170855.9046,26.0000
1762170856.0682,21.0000
1762170856.2227,23.0000
1762170856.3797,25.0000
1762170856.5386,22.0000
1762170856.7140,24.0000
1762170856.8675,24.0000
1762170857.0480,24.0000
1762170857.2073,25.0000
1762170857.3616,27.0000
1762170857.5407,27.0000
1762170857.6930,25.0000
1762170857.8525,26.0000
1762170858.0295,24.0000
1762170858.1854,27.0000
1762170858.3459,25.0000
1762170858.5175,25.0000
1762170858.6919,25.0000
1762170858.8465,25.0000
1762170859.0158,23.0000
1762170859.1699,28.0000
1762170859.3396,27.0000
1762170859.4994,26.0000
1762170859.6614,29.0000
1762170859.8315,26.0000
1762170859.9852,29.0000
1762170860.1522,30.0000
1762170860.3128,25.0000
1762170860.4792,24.0000
1762170860.6495,26.0000
1762170860.8033,28.0000
1762170860.9817,25.0000
1762170861.1357,25.0000
1762170861.3024,29.0000
1762170861.4604,25.0000
1762170861.6250,27.0000
1762170861.7929,29.0000
1762170861.9486,28.0000
1762170862.1151,27.0000
1762170862.2749,28.0000
1762170862.4435,27.0000
1762170862.6104,26.0000
1762170862.7669,28.0000
1762170862.9395,27.0000
1762170863.0927,25.0000
1762170863.2699,28.0000
1762170863.4269,26.0000
1762170863.5870,25.0000
1762170863.7505,29.0000
1762170863.9057,25.0000
1762170864.0832,29.0000
1762170864.2387,25.0000
1762170864.3913,24.0000
1762170864.5709,26.0000
1762170864.7304,28.0000
1762170864.9039,28.0000
1762170865.0675,24.0000
1762170865.2200,28.0000
1762170865.3940,28.0000
1762170865.5584,24.0000
1762170865.7222,28.0000
1762170865.8716,23.0000
1762170866.0363,25.0000
1762170866.1954,23.0000
1762170866.3703,25.0000
1762170866.5348,28.0000
1762170866.6843,27.0000
1762170866.8547,25.0000
1762170867.0148,27.0000
1762170867.1808,29.0000
1762170867.3623,23.0000
1762170867.5100,27.0000
1762170867.6771,27.0000
1762170867.8410,28.0000
1762170868.0179,29.0000
1762170868.1656,27.0000
1762170868.3457,31.0000
1762170868.4984,27.0000
1762170868.6757,28.0000
1762170868.8313,28.0000
1762170868.9961,29.0000
1762170869.1689,30.0000
1762170869.3370,28.0000
1762170869.4906,28.0000
1762170869.6685,26.0000
1762170869.8118,29.0000
1762170869.9787,28.0000
1762170870.1638,30.0000
1762170870.3179,28.0000
1762170870.4709,30.0000
1762170870.6393,28.0000
1762170870.8132,25.0000
1762170870.9680,26.0000
1762170871.1523,28.0000
1762170871.3067,28.0000
1762170871.4631,31.0000
1762170871.6419,27.0000
1762170871.7902,30.0000
1762170871.9675,30.0000
1762170872.1401,29.0000
1762170872.3010,31.0000
1762170872.4541,28.0000
1762170872.6328,27.0000
1762170872.7939,28.0000
1762170872.9503,30.0000
1762170873.1293,29.0000
1762170873.2823,27.0000
1762170873.4382,31.0000
1762170873.6166,31.0000
1762170873.7729,31.0000
1762170873.9527,32.0000
1762170874.1062,26.0000
1762170874.2607,30.0000
1762170874.4400,28.0000
1762170874.5933,28.0000
1762170874.7757,26.0000
1762170874.9288,27.0000
1762170875.0828,29.0000
1762170875.2690,26.0000
1762170875.4231,29.0000
1762170875.5767,27.0000
1762170875.7452,27.0000
1762170875.9034,26.0000
1762170876.0818,26.0000
1762170876.2525,28.0000
1762170876.4082,24.0000
1762170876.5775,25.0000
1762170876.7437,26.0000
1762170876.9928,25.0000
1762170877.1475,29.0000
1762170877.3251,22.0000
1762170877.4649,23.0000
1762170877.6451,24.0000
1762170877.7982,25.0000
1762170877.9826,23.0000
1762170878.1361,23.0000
1762170878.3098,24.0000
1762170878.4646,22.0000
1762170878.6350,25.0000
1762170878.8028,23.0000
1762170878.9563,25.0000
1762170879.1308,25.0000
1762170879.2947,25.0000
1762170879.4390,23.0000
1762170879.6257,25.0000
1762170879.7785,23.0000
1762170879.9525,25.0000
1762170880.1002,25.0000
1762170880.2799,23.0000
1762170880.4301,24.0000
1762170880.5874,24.0000
1762170880.7727,24.0000
1762170880.9266,22.0000
1762170881.0796,24.0000
1762170881.2612,21.0000
1762170881.4127,22.0000
1762170881.5813,25.0000
1762170881.7623,22.0000
1762170881.9253,26.0000
1762170882.0688,24.0000
1762170882.2511,23.0000
1762170882.4036,23.0000
1762170882.5831,23.0000
1762170882.7460,26.0000
1762170882.8979,22.0000
1762170883.0747,24.0000
1762170883.2298,22.0000
1762170883.3836,23.0000
1762170883.5624,20.0000
1762170883.7176,17.0000
1762170883.8965,20.0000
1762170884.0507,21.0000
1762170884.2215,21.0000
1762170884.3874,21.0000
1762170884.5421,21.0000
1762170884.7184,21.0000
1762170884.8731,21.0000
1762170885.0415,22.0000
1762170885.1944,22.0000
1762170885.3680,19.0000
1762170885.5238,21.0000
1762170885.6916,21.0000
1762170885.8505,21.0000
1762170886.0147,23.0000
1762170886.1822,21.0000
1762170886.3496,22.0000
1762170886.5069,22.0000
1762170886.6641,23.0000
1762170886.8434,21.0000
1762170887.0136,19.0000
1762170887.1675,21.0000
1762170887.3238,22.0000
1762170887.5051,21.0000
1762170887.6685,19.0000
1762170887.8222,21.0000
1762170888.0008,23.0000
1762170888.1469,23.0000
1762170888.3247,21.0000
1762170888.4829,21.0000
1762170888.6380,23.0000
1762170888.8146,20.0000
1762170888.9692,21.0000
1762170889.1458,22.0000
1762170889.3120,20.0000
1762170889.4671,20.0000
1762170889.6377,21.0000
1762170889.7895,24.0000
1762170889.9547,20.0000
1762170890.1358,21.0000
1762170890.2880,20.0000
1762170890.4649,21.0000
1762170890.6201,19.0000
1762170890.7758,23.0000
1762170890.9462,20.0000
1762170891.1135,20.0000
1762170891.2764,17.0000
1762170891.4333,20.0000
1762170891.6071,19.0000
1762170891.7619,18.0000
1762170891.9372,18.0000
1762170892.0977,20.0000
1762170892.2646,23.0000
1762170892.4201,23.0000
1762170892.5994,21.0000
1762170892.7591,20.0000
1762170892.9144,21.0000
1762170893.0958,19.0000
1762170893.2537,20.0000
1762170893.4168,22.0000
1762170893.5760,22.0000
1762170893.7518,19.0000
1762170893.9178,19.0000
1762170894.0728,21.0000
1762170894.2439,21.0000
1762170894.4042,19.0000
1762170894.5603,19.0000
1762170894.7369,24.0000
1762170894.8910,21.0000
1762170895.0456,21.0000
1762170895.2169,15.0000
1762170895.3931,22.0000
1762170895.5436,19.0000
1762170895.7248,19.0000
1762170895.8839,17.0000
1762170896.0369,16.0000
1762170896.2152,16.0000
1762170896.3635,16.0000
1762170896.5265,14.0000
1762170896.6909,16.0000
1762170896.8546,18.0000
1762170897.0220,14.0000
1762170897.1868,14.0000
1762170897.3477,15.0000
1762170897.5313,16.0000
1762170897.6746,13.0000
1762170897.8389,14.0000
1762170898.0059,12.0000
1762170898.1847,11.0000
1762170898.3392,14.0000
1762170898.4960,13.0000
1762170898.6586,13.0000
1762170898.8286,12.0000
1762170898.9958,12.0000
1762170899.1732,12.0000
1762170899.3275,12.0000
1762170899.4818,13.0000
1762170899.6552,16.0000
1762170899.8313,12.0000
1762170899.9800,16.0000
1762170900.1589,13.0000
1762170900.3159,14.0000
1762170900.4803,12.0000
1762170900.6492,16.0000
1762170900.7948,14.0000
1762170900.9626,15.0000
1762170901.1169,14.0000
1762170901.2860,12.0000
1762170901.4578,15.0000
1762170901.6273,15.0000
1762170901.7883,15.0000
1762170901.9535,16.0000
1762170902.1154,15.0000
1762170902.2805,15.0000
1762170902.4457,14.0000
1762170902.5974,15.0000
1762170902.7507,13.0000
1762170902.9096,14.0000
1762170903.0933,17.0000
1762170903.2593,14.0000
1762170903.4245,16.0000
1762170903.5802,15.0000
1762170903.7501,16.0000
1762170903.9118,16.0000
1762170904.0659,17.0000
1762170904.2383,17.0000
1762170904.4008,15.0000
1762170904.5598,16.0000
1762170904.7140,19.0000
1762170904.8916,17.0000
1762170905.0393,18.0000
1762170905.2103,19.0000
1762170905.3589,17.0000
1762170905.5383,16.0000
1762170905.7021,19.0000
1762170905.8716,16.0000
1762170906.0124,17.0000
1762170906.1924,19.0000
1762170906.3428,13.0000
1762170906.5223,18.0000
1762170906.6777,16.0000
1762170906.8453,16.0000
1762170907.0029,21.0000
1762170907.1808,20.0000
1762170907.3373,19.0000
1762170907.5067,20.0000
1762170907.6483,22.0000
1762170907.8260,21.0000
1762170907.9928,21.0000
1762170908.1542,18.0000
1762170908.3082,22.0000
1762170908.4823,21.0000
1762170908.6377,17.0000
1762170908.8127,21.0000
1762170908.9662,18.0000
1762170909.1346,18.0000
1762170909.2892,17.0000
1762170909.4660,18.0000
1762170909.6289,18.0000
1762170909.7889,19.0000
1762170909.9450,17.0000
1762170910.1167,18.0000
1762170910.2718,18.0000
1762170910.4265,18.0000
1762170910.6032,17.0000
1762170910.7583,17.0000
1762170910.9124,19.0000
1762170911.0969,16.0000
1762170911.2504,18.0000
1762170911.4274,17.0000
1762170911.5890,17.0000
1762170911.7419,18.0000
1762170911.8961,17.0000
1762170912.0695,15.0000
1762170912.2423,15.0000
1762170912.3959,16.0000
1762170912.5554,14.0000
