ros_time_s,Imu_Error_yaw
1762170959.1948,-1.3679
1762170959.3743,-1.3559
1762170959.5296,-1.3428
1762170959.6821,-1.3308
1762170959.8624,-1.3308
1762170960.0122,-1.3177
1762170960.1903,-1.3057
1762170960.3489,-1.2937
1762170960.5031,-1.2806
1762170960.6825,-1.2806
1762170960.8358,-1.2675
1762170961.0139,-1.2534
1762170961.1701,-1.2392
1762170961.3423,-1.2261
1762170961.4901,-1.2141
1762170961.6583,-1.2141
1762170961.8302,-1.2010
1762170961.9845,-1.1901
1762170962.1623,-1.1803
1762170962.3161,-1.1694
1762170962.4696,-1.1694
1762170962.6465,-1.1585
1762170962.8018,-1.1497
1762170962.9787,-1.1388
1762170963.1337,-1.1279
1762170963.3125,-1.1170
1762170963.4677,-1.1170
1762170963.6215,-1.1039
1762170963.7926,-1.0930
1762170963.9693,-1.0832
1762170964.1116,-1.0766
1762170964.2895,-1.0766
1762170964.4445,-1.0919
1762170964.6221,-1.1901
1762170964.7768,-1.3199
1762170964.9546,-1.4497
1762170965.1102,-1.4846
1762170965.2647,-1.4846
1762170965.4422,-1.4693
1762170965.6019,-1.4541
1762170965.7553,-1.4377
1762170965.9334,-1.4213
1762170966.0912,-1.4072
1762170966.2659,-1.4072
1762170966.4136,-1.3941
1762170966.5913,-1.3810
1762170966.7588,-1.3668
1762170966.9133,-1.3515
1762170967.0903,-1.3515
1762170967.2460,-1.3384
1762170967.3985,-1.3275
1762170967.5781,-1.3155
1762170967.7320,-1.3003
1762170967.8870,-1.3003
1762170968.0652,-1.2850
1762170968.2239,-1.2730
1762170968.3782,-1.2610
1762170968.5554,-1.2468
1762170968.7106,-1.2315
1762170968.8890,-1.2315
1762170969.0433,-1.2152
1762170969.2228,-1.2032
1762170969.3723,-1.1923
1762170969.5489,-1.1814
1762170969.7047,-1.1814
1762170969.8831,-1.1683
1762170970.0374,-1.1497
1762170970.1888,-1.1323
1762170970.3596,-1.1225
1762170970.5377,-1.1105
1762170970.6921,-1.1105
1762170970.8704,-1.0941
