ros_time_s,Lecturas_ValidasVerde
1762169696.5135,21.0000
1762169696.6924,21.0000
1762169696.8465,21.0000
1762169697.0174,20.0000
1762169697.1851,20.0000
1762169697.3633,19.0000
1762169697.5171,19.0000
1762169697.6886,20.0000
1762169697.8423,20.0000
1762169698.0254,22.0000
1762169698.1800,21.0000
1762169698.3593,21.0000
1762169698.5129,23.0000
1762169698.6861,24.0000
1762169698.8410,21.0000
1762169699.0197,21.0000
1762169699.1839,24.0000
1762169699.3389,24.0000
1762169699.5112,24.0000
1762169699.6650,23.0000
1762169699.8442,23.0000
1762169700.0078,28.0000
1762169700.1862,23.0000
1762169700.3415,23.0000
1762169700.4957,22.0000
1762169700.6723,23.0000
1762169700.8262,25.0000
1762169701.0064,25.0000
1762169701.1602,26.0000
1762169701.3401,23.0000
1762169701.4954,27.0000
1762169701.6701,25.0000
1762169701.8455,25.0000
1762169702.0003,25.0000
1762169702.1796,24.0000
1762169702.3361,26.0000
1762169702.4986,26.0000
1762169702.6729,26.0000
1762169702.8337,27.0000
1762169703.0064,27.0000
1762169703.1670,28.0000
1762169703.3470,29.0000
1762169703.4981,23.0000
1762169703.6768,28.0000
1762169703.8374,26.0000
1762169703.9927,27.0000
1762169704.1698,24.0000
1762169704.3252,26.0000
1762169704.4984,28.0000
1762169704.6681,29.0000
1762169704.8327,25.0000
1762169705.0099,26.0000
1762169705.1650,27.0000
1762169705.3325,24.0000
1762169705.5018,24.0000
1762169705.6633,26.0000
1762169705.8375,28.0000
1762169705.9956,25.0000
1762169706.1737,29.0000
1762169706.3250,27.0000
1762169706.4912,27.0000
1762169706.6713,23.0000
1762169706.8264,26.0000
1762169707.0070,26.0000
1762169707.1606,30.0000
1762169707.3228,27.0000
1762169707.4995,28.0000
1762169707.6632,24.0000
1762169707.8296,29.0000
1762169708.0062,29.0000
1762169708.1606,25.0000
1762169708.3398,27.0000
1762169708.4939,27.0000
1762169708.6542,29.0000
1762169708.8115,27.0000
1762169708.9855,30.0000
1762169709.1488,27.0000
1762169709.3298,26.0000
1762169709.4876,25.0000
1762169709.6643,25.0000
1762169709.8181,27.0000
1762169709.9913,30.0000
1762169710.1624,27.0000
1762169710.3156,29.0000
1762169710.4810,29.0000
1762169710.6582,28.0000
1762169710.8243,26.0000
1762169710.9719,26.0000
1762169711.1381,26.0000
1762169711.3250,29.0000
1762169711.4839,28.0000
1762169711.6428,28.0000
1762169711.8082,28.0000
1762169711.9884,28.0000
1762169712.1439,27.0000
1762169712.3136,30.0000
1762169712.4723,30.0000
1762169712.6501,29.0000
1762169712.7975,28.0000
1762169712.9793,29.0000
1762169713.1346,32.0000
1762169713.3103,28.0000
1762169713.4613,29.0000
1762169713.6412,31.0000
1762169713.8088,30.0000
1762169713.9588,29.0000
1762169714.1382,32.0000
1762169714.2979,29.0000
1762169714.4764,29.0000
1762169714.6301,25.0000
1762169714.8094,27.0000
1762169714.9616,27.0000
1762169715.1240,28.0000
1762169715.3009,26.0000
1762169715.4745,29.0000
1762169715.6288,31.0000
1762169715.8055,30.0000
1762169715.9595,32.0000
1762169716.1399,31.0000
1762169716.2944,32.0000
1762169716.4473,31.0000
1762169716.6144,28.0000
1762169716.7936,29.0000
1762169716.9475,31.0000
1762169717.1265,28.0000
1762169717.2812,29.0000
1762169717.4590,28.0000
1762169717.6132,30.0000
1762169717.7914,28.0000
1762169717.9465,29.0000
1762169718.1242,30.0000
1762169718.2788,30.0000
1762169718.4568,27.0000
1762169718.6116,31.0000
1762169718.7907,29.0000
1762169718.9444,28.0000
1762169719.1234,29.0000
1762169719.2778,28.0000
1762169719.4331,28.0000
1762169719.6107,27.0000
1762169719.7864,28.0000
1762169719.9407,27.0000
1762169720.0961,25.0000
1762169720.2753,24.0000
1762169720.4287,27.0000
1762169720.6087,28.0000
1762169720.7642,27.0000
1762169720.9504,25.0000
1762169721.1099,27.0000
1762169721.2654,29.0000
1762169721.4467,25.0000
1762169721.6072,29.0000
1762169721.7630,26.0000
1762169721.9428,26.0000
1762169722.1023,25.0000
1762169722.2692,25.0000
1762169722.4261,26.0000
1762169722.6013,25.0000
1762169722.7666,25.0000
1762169722.9359,25.0000
1762169723.0935,25.0000
1762169723.2716,28.0000
1762169723.4397,26.0000
1762169723.5976,26.0000
1762169723.7692,26.0000
1762169723.9239,26.0000
1762169724.0946,26.0000
1762169724.2482,24.0000
1762169724.4268,24.0000
1762169724.5962,24.0000
1762169724.7496,25.0000
1762169724.9097,22.0000
1762169725.0808,24.0000
1762169725.2414,23.0000
1762169725.4095,25.0000
1762169725.5733,23.0000
1762169725.7370,24.0000
1762169725.9015,21.0000
1762169726.0809,22.0000
1762169726.2482,24.0000
1762169726.4025,21.0000
1762169726.5810,22.0000
1762169726.7445,23.0000
1762169726.9034,23.0000
1762169727.0862,23.0000
1762169727.2306,26.0000
1762169727.4177,23.0000
1762169727.5705,24.0000
1762169727.7380,22.0000
1762169727.9162,20.0000
1762169728.0751,21.0000
1762169728.2480,21.0000
1762169728.4013,21.0000
1762169728.5545,22.0000
1762169728.7314,19.0000
1762169728.9098,20.0000
1762169729.0725,19.0000
1762169729.2257,23.0000
1762169729.4039,17.0000
1762169729.5579,22.0000
1762169729.7272,22.0000
1762169729.8811,22.0000
1762169730.0587,21.0000
1762169730.2142,19.0000
1762169730.3758,23.0000
1762169730.5575,23.0000
1762169730.7124,19.0000
1762169730.8665,24.0000
1762169731.0466,20.0000
1762169731.2199,21.0000
1762169731.3748,23.0000
1762169731.5291,21.0000
1762169731.7134,20.0000
1762169731.8700,22.0000
1762169732.0387,24.0000
1762169732.1938,22.0000
1762169732.3707,23.0000
1762169732.5236,21.0000
1762169732.7031,21.0000
1762169732.8564,21.0000
1762169733.0117,22.0000
1762169733.1963,21.0000
1762169733.3545,21.0000
1762169733.5092,21.0000
1762169733.6856,20.0000
1762169733.8507,21.0000
1762169734.0062,20.0000
1762169734.1796,19.0000
1762169734.3345,22.0000
1762169734.5110,21.0000
1762169734.6672,19.0000
1762169734.8453,18.0000
1762169734.9988,17.0000
1762169735.1559,17.0000
1762169735.3358,22.0000
1762169735.4931,21.0000
1762169735.6703,17.0000
1762169735.8208,19.0000
1762169735.9929,19.0000
1762169736.1450,17.0000
1762169736.3144,20.0000
1762169736.4856,20.0000
1762169736.6449,20.0000
1762169736.8122,17.0000
1762169736.9729,16.0000
1762169737.1368,16.0000
1762169737.3202,17.0000
1762169737.4743,17.0000
1762169737.6355,20.0000
1762169737.8135,18.0000
1762169737.9635,17.0000
1762169738.1362,19.0000
1762169738.3025,21.0000
1762169738.4614,21.0000
1762169738.6408,19.0000
1762169738.7955,21.0000
1762169738.9491,18.0000
1762169739.1256,21.0000
1762169739.2905,21.0000
1762169739.4452,20.0000
1762169739.6236,21.0000
1762169739.7789,20.0000
1762169739.9429,18.0000
1762169740.1047,18.0000
1762169740.2788,18.0000
1762169740.4341,21.0000
1762169740.6125,16.0000
1762169740.7662,16.0000
1762169740.9444,18.0000
1762169741.0948,14.0000
1762169741.2520,14.0000
1762169741.4183,19.0000
1762169741.5821,18.0000
1762169741.7482,16.0000
1762169741.9155,17.0000
1762169742.0932,17.0000
1762169742.2473,19.0000
1762169742.4057,16.0000
1762169742.5850,12.0000
1762169742.7370,14.0000
1762169742.9137,16.0000
1762169743.0703,14.0000
1762169743.2326,16.0000
1762169743.3974,14.0000
1762169743.5648,14.0000
1762169743.7510,13.0000
