ros_time_s,Error_Distancia
1762169754.6494,-0.0049
1762169754.6923,-0.0049
1762169754.7424,-0.0049
1762169754.8018,-0.0095
1762169754.8426,-0.0095
1762169754.8921,-0.0095
1762169754.9428,-0.0095
1762169755.0049,-0.0214
1762169755.0427,-0.0214
1762169755.0921,-0.0214
1762169755.1506,-0.0373
1762169755.1921,-0.0373
1762169755.2427,-0.0373
1762169755.3018,-0.0268
1762169755.3427,-0.0268
1762169755.3920,-0.0268
1762169755.4524,-0.0313
1762169755.4921,-0.0313
1762169755.5424,-0.0313
1762169755.5921,-0.0313
1762169755.6524,-0.0129
1762169755.6920,-0.0129
1762169755.7429,-0.0129
1762169755.8029,-0.0399
1762169755.8428,-0.0399
1762169755.8928,-0.0399
1762169755.9528,0.0027
1762169755.9928,0.0027
1762169756.0428,0.0027
1762169756.0926,0.0027
1762169756.1545,-0.0203
1762169756.1920,-0.0203
1762169756.2425,-0.0203
1762169756.3022,0.0153
1762169756.3424,0.0153
1762169756.3928,0.0153
1762169756.4526,-0.0182
1762169756.4931,-0.0182
1762169756.5426,-0.0182
1762169756.6033,-0.0222
1762169756.6425,-0.0222
1762169756.6925,-0.0222
1762169756.7431,-0.0222
1762169756.8019,-0.0019
1762169756.8422,-0.0019
1762169756.8922,-0.0019
1762169756.9528,-0.0313
1762169756.9923,-0.0313
1762169757.0430,-0.0313
1762169757.1004,-0.0265
1762169757.1428,-0.0265
1762169757.1922,-0.0265
1762169757.2428,-0.0265
1762169757.2995,0.0026
1762169757.3427,0.0026
1762169757.3928,0.0026
1762169757.4506,0.0324
1762169757.4925,0.0324
1762169757.5430,0.0324
1762169757.6035,0.0024
1762169757.6422,0.0024
1762169757.6923,0.0024
1762169757.7538,-0.0124
1762169757.7926,-0.0124
1762169757.8434,-0.0124
1762169757.9028,-0.0348
1762169757.9427,-0.0348
1762169757.9921,-0.0348
1762169758.0428,-0.0348
1762169758.1010,-0.0034
1762169758.1428,-0.0034
1762169758.1921,-0.0034
1762169758.2535,0.0002
1762169758.2930,0.0002
1762169758.3425,0.0002
1762169758.3984,-0.0037
1762169758.4428,-0.0037
1762169758.4921,-0.0037
1762169758.5428,-0.0037
1762169758.6021,0.0411
1762169758.6428,0.0411
1762169758.6926,0.0411
1762169758.7526,-0.0069
1762169758.7924,-0.0069
1762169758.8430,-0.0069
1762169758.9013,0.0158
1762169758.9431,0.0158
1762169758.9924,0.0158
1762169759.0429,0.0158
1762169759.1022,0.0080
1762169759.1422,0.0080
1762169759.1926,0.0080
1762169759.2541,0.0157
1762169759.2922,0.0157
1762169759.3422,0.0157
1762169759.4035,0.0330
1762169759.4425,0.0330
1762169759.4925,0.0330
1762169759.5429,0.0330
1762169759.6027,0.0132
1762169759.6430,0.0132
1762169759.6929,0.0132
1762169759.7542,0.0216
1762169759.7923,0.0216
1762169759.8429,0.0216
1762169759.9033,0.0046
1762169759.9427,0.0046
1762169759.9925,0.0046
1762169760.0525,0.0304
1762169760.0921,0.0304
1762169760.1423,0.0304
1762169760.1925,0.0304
1762169760.2525,0.0618
1762169760.2929,0.0618
1762169760.3428,0.0618
1762169760.4024,0.0188
1762169760.4422,0.0188
1762169760.4923,0.0188
1762169760.5530,0.0155
1762169760.5925,0.0155
1762169760.6429,0.0155
1762169760.6927,0.0155
1762169760.7501,-0.0012
1762169760.7922,-0.0012
1762169760.8427,-0.0012
1762169760.9037,0.0229
1762169760.9428,0.0229
1762169760.9925,0.0229
1762169761.0526,0.0139
1762169761.0925,0.0139
1762169761.1428,0.0139
1762169761.2058,0.0212
1762169761.2426,0.0212
1762169761.2927,0.0212
1762169761.3429,0.0212
1762169761.4028,-0.0190
1762169761.4421,-0.0190
1762169761.4922,-0.0190
1762169761.5525,0.0049
1762169761.5920,0.0049
1762169761.6427,0.0049
1762169761.7058,0.0252
1762169761.7426,0.0252
1762169761.7926,0.0252
1762169761.8429,0.0252
1762169761.9033,-0.0225
1762169761.9417,-0.0225
1762169761.9921,-0.0225
1762169762.0523,0.0099
1762169762.0927,0.0099
1762169762.1428,0.0099
1762169762.2062,0.0128
1762169762.2429,0.0128
1762169762.2928,0.0128
1762169762.3532,0.0134
1762169762.3922,0.0134
1762169762.4427,0.0134
1762169762.4921,0.0134
1762169762.5550,0.0198
1762169762.5922,0.0198
1762169762.6426,0.0198
1762169762.7011,-0.0070
1762169762.7426,-0.0070
1762169762.7922,-0.0070
1762169762.8530,0.0311
1762169762.8926,0.0311
1762169762.9430,0.0311
1762169763.0017,-0.0153
1762169763.0432,-0.0153
1762169763.0923,-0.0153
