ros_time_s,Imu_Error_yaw
1762169723.9239,0.0175
1762169724.0946,0.0175
1762169724.2482,0.0196
1762169724.4268,0.0251
1762169724.5962,0.0273
1762169724.7496,0.0273
1762169724.9097,0.0327
1762169725.0808,0.0415
1762169725.2414,0.0491
1762169725.4095,0.0491
1762169725.5733,0.0556
1762169725.7370,0.0633
1762169725.9015,0.0709
1762169726.0809,0.0709
1762169726.2482,0.0775
1762169726.4025,0.0829
1762169726.5810,0.0873
1762169726.7445,0.0894
1762169726.9034,0.0894
1762169727.0862,0.0938
1762169727.2306,0.0993
1762169727.4177,0.1036
1762169727.5705,0.1080
1762169727.7380,0.1080
1762169727.9162,0.1025
1762169728.0751,0.1025
1762169728.2480,0.1025
1762169728.4013,0.1025
1762169728.5545,0.1025
1762169728.7314,0.0993
1762169728.9098,0.0960
1762169729.0725,0.0960
1762169729.2257,0.0916
1762169729.4039,0.0862
1762169729.5579,0.0851
1762169729.7272,0.0851
1762169729.8811,0.0818
1762169730.0587,0.0785
1762169730.2142,0.0731
1762169730.3758,0.0633
1762169730.5575,0.0633
1762169730.7124,0.0589
1762169730.8665,0.0535
1762169731.0466,0.0491
1762169731.2199,0.0436
1762169731.3748,0.0436
1762169731.5291,0.0393
1762169731.7134,0.0338
1762169731.8700,0.0284
1762169732.0387,0.0284
1762169732.1938,0.0240
1762169732.3707,0.0196
1762169732.5236,0.0120
1762169732.7031,0.0033
1762169732.8564,0.0033
1762169733.0117,-0.0022
1762169733.1963,-0.0087
1762169733.3545,-0.0207
1762169733.5092,-0.0316
1762169733.6856,-0.0316
1762169733.8507,-0.0436
1762169734.0062,-0.0567
1762169734.1796,-0.0698
1762169734.3345,-0.0698
1762169734.5110,-0.0764
1762169734.6672,-0.0818
1762169734.8453,-0.0862
1762169734.9988,-0.0862
1762169735.1559,-0.0905
1762169735.3358,-0.0927
1762169735.4931,-0.0949
1762169735.6703,-0.0993
1762169735.8208,-0.0993
1762169735.9929,-0.1025
1762169736.1450,-0.1080
1762169736.3144,-0.1134
1762169736.4856,-0.1134
1762169736.6449,-0.1189
1762169736.8122,-0.1254
1762169736.9729,-0.1287
1762169737.1368,-0.1287
1762169737.3202,-0.1287
1762169737.4743,-0.1287
1762169737.6355,-0.1331
1762169737.8135,-0.1363
1762169737.9635,-0.1363
1762169738.1362,-0.1407
1762169738.3025,-0.1429
1762169738.4614,-0.1429
1762169738.6408,-0.1429
1762169738.7955,-0.1495
1762169738.9491,-0.1549
1762169739.1256,-0.1560
1762169739.2905,-0.1560
1762169739.4452,-0.1560
1762169739.6236,-0.1560
1762169739.7789,-0.1571
1762169739.9429,-0.1571
1762169740.1047,-0.1538
1762169740.2788,-0.1429
1762169740.4341,-0.1342
1762169740.6125,-0.1254
1762169740.7662,-0.1254
1762169740.9444,-0.1189
1762169741.0948,-0.1145
1762169741.2520,-0.1134
1762169741.4183,-0.1134
1762169741.5821,-0.1134
1762169741.7482,-0.1134
1762169741.9155,-0.1200
1762169742.0932,-0.1222
1762169742.2473,-0.1222
1762169742.4057,-0.1276
1762169742.5850,-0.1353
1762169742.7370,-0.1462
1762169742.9137,-0.1516
1762169743.0703,-0.1516
1762169743.2326,-0.1560
1762169743.3974,-0.1647
1762169743.5648,-0.1735
1762169743.7510,-0.1735
1762169743.9054,-0.1800
1762169744.0603,-0.1876
1762169744.2396,-0.1974
1762169744.3917,-0.2018
1762169744.5591,-0.2018
1762169744.7171,-0.2029
