ros_time_s,Imu_Error_yaw
1762168601.4820,-2.0322
1762168601.6559,-2.0137
1762168601.8295,-2.0137
1762168601.9842,-2.0060
1762168602.1616,-1.9995
1762168602.3199,-1.9940
1762168602.4986,-1.9875
1762168602.6500,-1.9766
1762168602.8285,-1.9602
1762168602.9886,-1.9602
1762168603.1714,-1.9449
1762168603.3274,-1.9264
1762168603.5051,-1.9100
1762168603.6600,-1.8915
1762168603.8395,-1.8740
1762168603.9938,-1.8740
1762168604.1655,-1.8599
1762168604.3455,-1.8446
1762168604.5018,-1.8293
1762168604.6787,-1.8162
1762168604.8349,-1.8021
1762168605.0119,-1.8021
1762168605.1669,-1.7890
1762168605.3474,-1.7781
1762168605.5246,-1.7682
1762168605.6790,-1.7584
1762168605.8614,-1.7464
1762168606.0147,-1.7464
1762168606.1939,-1.7344
1762168606.3488,-1.7213
1762168606.5271,-1.7082
1762168606.6805,-1.6952
1762168606.8594,-1.6821
1762168607.0142,-1.6701
1762168607.1952,-1.6701
1762168607.3725,-1.6581
1762168607.5260,-1.6461
1762168607.7046,-1.6341
1762168607.8579,-1.6199
1762168608.0374,-1.6199
1762168608.1970,-1.6057
1762168608.3759,-1.5883
1762168608.5338,-1.5708
1762168608.7106,-1.5533
1762168608.8673,-1.5359
1762168609.0456,-1.5217
1762168609.1994,-1.5217
1762168609.3755,-1.5064
1762168609.5463,-1.4923
1762168609.6994,-1.4748
1762168609.8788,-1.4584
1762168610.0564,-1.4410
1762168610.2098,-1.4410
1762168610.3919,-1.4246
1762168610.5441,-1.4104
1762168610.7067,-1.3963
1762168610.8874,-1.3810
1762168611.0643,-1.3635
1762168611.2195,-1.3635
1762168611.3987,-1.3461
1762168611.5531,-1.3341
1762168611.7317,-1.3254
1762168611.8849,-1.3177
1762168612.0641,-1.3090
1762168612.2179,-1.3090
1762168612.3964,-1.2992
1762168612.5525,-1.2894
1762168612.7302,-1.2806
1762168612.8846,-1.2675
1762168613.0616,-1.2534
